contentUrl	license
fig/contributing/conflict-resolution.png	GitHub website with annotations by NBIS, GitHub website screenshot used to teach about GitHub, https://github.com/logos
fig/contributing/files-changed.png	GitHub website with annotations by NBIS, GitHub website screenshot used to teach about GitHub, https://github.com/logos
fig/contributing/fork-commit.png	GitHub website with annotations by NBIS, GitHub website screenshot used to teach about GitHub, https://github.com/logos
fig/contributing/fork-prompt.png	GitHub website with annotations by NBIS, GitHub website screenshot used to teach about GitHub, https://github.com/logos
fig/contributing/fork-pull-request.png	GitHub website with annotations by NBIS, GitHub website screenshot used to teach about GitHub, https://github.com/logos
fig/contributing/invite-collaborators.png	GitHub website with annotations by NBIS, GitHub website screenshot used to teach about GitHub, https://github.com/logos
fig/contributing/merge.png	GitHub website with annotations by NBIS, GitHub website screenshot used to teach about GitHub, https://github.com/logos
fig/contributing/propose-file-change.png	GitHub website with annotations by NBIS, GitHub website screenshot used to teach about GitHub, https://github.com/logos
fig/contributing/pull-request-form.png	GitHub website with annotations by NBIS, GitHub website screenshot used to teach about GitHub, https://github.com/logos
fig/contributing/review.png	GitHub website with annotations by NBIS, GitHub website screenshot used to teach about GitHub, https://github.com/logos
fig/basics/commits.PNG	GitHub website with annotations by NBIS, GitHub website screenshot used to teach about GitHub, https://github.com/logos
fig/basics/file-view.png	GitHub website with annotations by NBIS, GitHub website screenshot used to teach about GitHub, https://github.com/logos
data/samples_openrefine_lesson.csv	Artificial data created by NBIS derived from publicaly available research data deposited in the European Nucleotide Archive (ENA) at EMBL-EBI under accession number PRJEB42601 (https://identifiers.org/ena.embl:PRJEB42601).
data/data_cleaning_script_openrefine_lesson.txt	Script created by NBIS, to be used in OpenRefine training module, https://github.com/NBISweden/module-openrefine-dm-practices.
module-versioning-dm-practice.pdf	Presentation CC BY 4.0 by NBIS, https://creativecommons.org/licenses/by/4.0/
